date | value
2014-10-25 | 41.41
2016-09-09 | 363.16
2009-05-16 | 133.73
2012-07-13 | 188.9
2015-02-20 | 500.8
2006-02-01 | 581.66
2013-08-01 | 38.7
2011-09-20 | 217.11
2003-10-16 | 593.17
2001-12-25 | 848.86
2012-05-12 | 825.14
2021-09-02 | 994.56
2005-12-22 | 948.71
2021-08-19 | 394.33
2024-03-30 | 310.58
2012-04-12 | 799.34
2020-07-22 | 627.19
2007-03-20 | 173.82
2021-12-12 | 897.62
2014-03-07 | 40.28
2002-06-13 | 231.91
2012-07-28 | 705.33
2009-04-20 | 262.63
2023-01-13 | 196.97
2017-09-16 | 890.12
2002-04-26 | 507.76
2011-01-20 | 560.39
2013-03-25 | 391.6
2008-02-10 | 945.42
2025-02-09 | 916.09
2012-11-19 | 175.46
2000-12-15 | 10.06
2011-12-08 | 870.56
2015-04-02 | 289.57
2018-05-10 | 708.3
2021-04-16 | 211.21
2018-11-27 | 563.54
2010-04-01 | 149.78
2020-11-01 | 585.23
2001-03-14 | 698.48
2015-06-01 | 705.25
2012-02-23 | 677.6
2020-09-20 | 465.28
2002-03-02 | 682.82
2000-06-26 | 403.52
2003-11-18 | 956.56
2024-06-18 | 699.8
2015-02-21 | 700.08
2010-01-22 | 446.4
2002-04-30 | 764.69
2005-02-07 | 583.19
2022-06-10 | 767.3
2013-06-22 | 252.09
2014-08-20 | 571.3
2017-09-02 | 940.51
2024-01-03 | 484.22
2020-06-23 | 173.7
2013-11-03 | 841.72
2007-07-19 | 359.63
2011-06-17 | 577.08
2018-11-10 | 404.14
2001-09-07 | 317.92
2025-06-09 | 45.15
2023-06-23 | 15.74
2011-07-16 | 872.08
2011-03-21 | 67.58
2016-05-18 | 999.11
2011-08-07 | 236.33
2021-03-26 | 216.67
2024-07-16 | 353.08
2000-02-11 | 529.15
2024-04-17 | 594.77
2024-08-14 | 745.61
2022-07-11 | 621.81
2023-03-09 | 738.13
2005-10-31 | 774.94
2012-05-31 | 744.9
2010-08-15 | 728.25
2010-12-09 | 59.68
2014-12-18 | 505.59
2025-02-29 | 141.7
2001-13-01 | 246.2
2000-00-10 | 85.33
2000-00-10 | 53.15
2001-13-01 | 777.67
2000-00-10 | 244.19
2025-02-29 | 591.56
2001-13-01 | 236.07
2025-02-29 | 541.91
2001-13-01 | 985.33
2023-01-07 | 416.3
2011-11-15 | 1040.41
2015-03-11 | 1595.81
2020-07-26 | -719.31
2016-05-08 | 1319.18
2003-05-17 | 1242.13
2013-06-02 | 1549.01
2003-04-27 | 1913.21
2008-09-12 | 1984.84
2009-01-02 | 999
